"Id","AgeReviewer","GenderReviewer","RevRating","RevType","RevLen","WordCount","AvgWordLen","SentiG2","SentiG3","SentiGPol","SentiGSub","SentiR2","SentiR3","SentiRPol","App","AppCat","AppRating","nReviews","nInstalls","ContRating","lRevLen"
1731,NA,NA,4.321846982,"Short",49,10,3.20819395572653,"Negative","Negative",-0.168941315718612,0.550281980184255,"Negative","Negative",-0.262133200859496,"Bubble Shooter","GAME",4.45820922826471,16784,"10000000+","Everyone",3.91202300542815
1838,NA,NA,4.322646442,"Short",44,7,3.77519418969091,"Negative","Negative",-0.146461238481977,0.457979775727252,"Negative","Neutral",-0.203859645563898,"Frozen Free Fall","FAMILY",4.4418015600625,21575,"50000000+","Everyone",3.80666248977032
3402,45,"Male",4.406687637,"Long",156,19,3.57728640054809,"Negative","Negative",-0.346968205389715,0.50950290542679,"Negative","Neutral",-0.207816199976372,"Cooking Fever","GAME",4.51845972737838,120332,"100000000+","Everyone",5.05624580534831
4880,NA,NA,4.483034691,"Short",87,14,3.43788829991954,"Negative","Neutral",-0.000755829495530214,0.573732216425324,"Positive","Neutral",0.0502828242524465,"Altos Adventure","GAME",4.58076788752941,552103,"10000000+","Everyone",4.47733681447821
2784,NA,NA,4.375729057,"Short",109,12,3.95118423470826,"Negative","Negative",-0.12083650468417,0.694165497831264,"Negative","Neutral",-0.146858120155277,"Doctor Pets","FAMILY",4.46615687536364,49870,"1000000+","Everyone",4.70048036579242
192,66,"Female",4.151849454,"Short",100,13,3.39751129866667,"Negative","Negative",-0.734917586281605,0.379583292043522,"Negative","Negative",-0.613939026065182,"Color by Number Draw Sandbox Pixel Art","FAMILY",4.35562015441176,511,"1000000+","Everyone",4.61512051684126
1783,NA,NA,4.30995276,"Long",214,36,3.10902388402243,"Negative","Negative",-0.175966251439958,0.652635791348766,"Negative","Neutral",-0.176662812363119,"Citizens Bank Mobile Banking","FINANCE",4.42037967042857,15880,"1000000+","Everyone",5.37063802812766
1713,NA,NA,4.320335942,"Short",64,7,3.91971432288125,"Negative","Negative",-0.157228142608302,0.498606588686275,"Negative","Neutral",-0.183125829653201,"Bubble Shooter","GAME",4.45820922826471,16471,"10000000+","Everyone",4.17438726989564
1392,32,"Female",4.281257256,"Long",256,40,3.09385673254372,"Negative","Negative",-0.433602537952948,0.458947785069745,"Negative","Negative",-0.324151024663144,"Chase Mobile","FINANCE",4.45286720430769,11878,"10000000+","Everyone",5.54907608489522
5603,NA,NA,4.509840313,"Short",94,9,3.69567633014493,"Negative","Neutral",-0.0682610076721116,0.58296697306767,"Positive","Positive",0.140857438563655,"BZWBK2 mobile","FINANCE",4.603933453,1375806,"1000000+","Everyone",4.55387689160054
6121,NA,NA,4.55890484,"Short",73,11,3.48066080629589,"Positive","Neutral",0.0985358472045028,0.514295965735801,"Positive","Positive",0.260126306937138,"Farm Heroes Saga","GAME",4.632388530625,5271391,"100000000+","Everyone",4.30406509320417
190,NA,NA,4.165415181,"Short",108,13,3.3125321486988,"Negative","Negative",-0.568561352582706,0.419230552725161,"Negative","Negative",-0.548301278191939,"Color by Number Draw Sandbox Pixel Art","FAMILY",4.35562015441176,509,"1000000+","Everyone",4.69134788222914
4054,NA,NA,4.410096527,"Long",272,32,3.22810667462024,"Negative","Negative",-0.212383144683315,0.449138280958811,"Positive","Neutral",-0.0160582555808891,"Agario","GAME",4.5087803505,231931,"100000000+","Everyone",5.60947179518496
512,NA,NA,4.213114998,"Short",61,14,3.08915253917049,"Negative","Negative",-0.379296002886941,0.297700219496442,"Negative","Negative",-0.466154239957835,"Dr Panda Restaurant 3","FAMILY",4.3562600930625,1829,"1000000+","Everyone",4.12713438504509
1293,NA,NA,4.279154557,"Short",94,14,3.34240977235745,"Negative","Negative",-0.299547257027082,0.2951313019918,"Negative","Negative",-0.292029057347376,"Four In A Line Free","GAME",4.41796980816667,9259,"5000000+","Everyone",4.55387689160054
1172,NA,NA,4.295792462,"Long",337,49,3.24135472853472,"Negative","Neutral",-0.0423139897137271,0.696429886848244,"Negative","Negative",-0.299933064258688,"Flow Free","FAMILY",4.41282938110526,8698,"100000000+","Everyone",5.82304589548302
