Id,AgeReviewer,GenderReviewer,RevRating,RevType,RevLen,WordCount,AvgWordLen,SentiG2,SentiG3,SentiGPol,SentiGSub,SentiR2,SentiR3,SentiRPol,App,AppCat,nReviews,nInstalls,ContRating,lRevLen,AppRating
1,NA,NA,4.26,Long,145,19,3.577286401,Negative,Negative,0.246353214,0.509502905,Negative,Neutral,0.136649874,Cooking Fever,GAME,120332,100000000+,Teen,4.983606622,4.45
2,NA,NA,4.43,Short,82,13,3.397511299,Negative,Negative,0.194592272,0.379583292,Negative,Negative,-0.194619628,Color by Number Draw Sandbox Pixel Art,FAMILY,511,1000000+,Mature,4.418840608,4.35
3,NA,NA,4.45,Long,247,40,3.093856733,Negative,Negative,-0.036844394,0.458947785,Negative,Negative,-0.128978357,Chase Mobile,FINANCE,11878,10000000+,Mature,5.513428746,4.57
4,NA,NA,4.36,Short,63,11,2.878364254,Negative,Negative,-0.721689615,0.572904751,Positive,Positive,-0.411919528,Fruits Bomb,GAME,3737752,10000000+,Teen,4.158883083,4.36
5,NA,NA,4.56,Short,37,8,3.947448523,Negative,Neutral,0.030693448,0.48456975,Positive,Neutral,-0.209229569,Farming Simulator 1 ,FAMILY,701511,10000000+,Teen,3.63758616,4.68
6,NA,NA,4.42,Long,127,17,3.340776277,Positive,Neutral,-0.263153566,0.557653995,Negative,Neutral,-0.325144724,BankMobile Vibe App,FINANCE,11555,1000000+,Mature,4.852030264,4.62
7,17,Male,4.29,Long,92,18,2.998728766,Negative,Neutral,-0.289833768,0.480649878,Negative,Negative,-0.653154576,Candy Day,FAMILY,3744,1000000+,Teen,4.532599493,4.67
8,71,Male,4.24,Long,163,20,3.212735144,Negative,Negative,-0.53876717,0.544117611,Negative,Neutral,-0.289984355,Hello Kitty Nail Salon,GAME,174182,50000000+,Teen,5.099866428,4.53
9,NA,NA,4.53,Short,82,13,3.300633759,Positive,Positive,-0.149657567,0.688711609,Positive,Positive,-0.08382854,ABCmousecom,FAMILY,428738,5000000+,Mature,4.418840608,4.85
10,NA,NA,4.57,Short,86,9,3.45121775,Negative,Negative,-0.32961797,0.447948597,Negative,Neutral,0.574417009,Cooking Madness A Chefs Restaurant Games,GAME,161351,10000000+,Mature,4.465908119,4.4
11,NA,NA,4.37,Short,93,13,3.612028627,Negative,Negative,0.091563065,0.574816522,Negative,Neutral,0.439780965,Comptia A 220901 220902,FAMILY,17441,10000+,Teen,4.543294782,4.55
12,NA,NA,4.26,Long,107,15,3.171382574,Positive,Neutral,-0.53006428,0.50436956,Positive,Positive,0.538563132,Color Road,GAME,12075869,10000000+,Mature,4.682131227,4.27
13,NA,NA,4.6,Short,43,7,3.708903545,Negative,Negative,-0.109361433,0.413080877,Negative,Negative,0.381530454,Hay Day,FAMILY,118,100000000+,Teen,3.784189634,4.52
14,76,Female,4.27,Short,109,12,3.675450306,Negative,Negative,-0.16650503,0.452351666,Negative,Neutral,0.205006451,Credit Sesame,FINANCE,66501,1000000+,Teen,4.700480366,4.71
15,NA,NA,4.4,Long,113,15,3.371111752,Negative,Negative,-0.761068832,0.632224384,Negative,Neutral,0.281956802,Bubble Witch 3 Saga,GAME,26939,50000000+,Teen,4.736198448,4.64
16,NA,NA,4.31,Short,37,9,3.167408708,Negative,Negative,-0.67262577,0.258803716,Negative,Negative,0.129337562,Hay Day,FAMILY,165,100000000+,Teen,3.63758616,4.52
17,NA,NA,4.39,Short,32,6,3.448728102,Negative,Neutral,0.132681707,0.173077578,Positive,Neutral,-0.500984176,Dog Run Pet Dog Simulator,GAME,365866,10000000+,Mature,3.496507561,4.52
18,22,Female,4.21,Short,88,13,3.55455394,Negative,Neutral,0.084289213,0.492577775,Negative,Neutral,0.324014713,Experian Free Credit Report,FINANCE,57016,1000000+,Mature,4.48863637,4.69
19,NA,NA,4.35,Short,61,8,3.788183226,Negative,Neutral,0.416546536,0.396767499,Positive,Positive,-0.169162874,Candy Crush Soda Saga,GAME,1535436,100000000+,Teen,4.127134385,4.7
20,NA,NA,4.44,Short,63,10,3.536624148,Positive,Positive,0.801023357,0.767506064,Positive,Positive,0.656728293,Branch,FINANCE,1834415,1000000+,Mature,4.158883083,4.49
21,NA,NA,4.08,Short,24,3,4.849451646,Positive,Positive,-0.13969502,0.675361104,Positive,Positive,0.239321236,A Mobile,FINANCE,2126144,10000+,Teen,3.218875825,4.54
22,NA,NA,4.44,Long,162,21,3.2578734,Positive,Positive,0.093598088,0.501904884,Positive,Positive,-0.081662763,Baby ABC in box Kids alphabet games for toddlers,FAMILY,67743547,1000000+,Mature,5.093750201,4.61
23,NA,NA,4.25,Long,106,17,3.080789671,Positive,Neutral,-0.092480282,0.485480621,Negative,Neutral,-0.397868508,CreditWise from Capital One,FINANCE,79854,1000000+,Mature,4.672828834,4.32
24,NA,NA,4.57,Long,150,21,3.087811254,Negative,Negative,-0.024049145,0.45797774,Negative,Negative,-0.38809298,Dr Panda Restaurant 3,FAMILY,1837,1000000+,Teen,5.017279837,4.79
25,25,Male,4.4,Short,52,6,3.891346716,Negative,Negative,0.526818839,0.336956597,Negative,Neutral,-0.299881782,Build a Bridge,FAMILY,85928,10000000+,Mature,3.970291914,4.52
26,NA,NA,4.43,Long,158,23,3.225459465,Positive,Neutral,-0.578559623,0.573511382,Positive,Neutral,0.345127417,Agario,GAME,231006,100000000+,Teen,5.068904202,4.64
27,NA,NA,4.5,Long,180,28,3.116668828,Negative,Negative,-0.01204402,0.356814772,Negative,Negative,-0.759105171,Blossom Blast Saga,GAME,2707,10000000+,Teen,5.198497031,4.37
28,46,Male,4.27,Short,18,4,4.016830153,Negative,Neutral,-0.221753115,0.734922824,Negative,Negative,0.393044924,Hello Stars,GAME,259,10000000+,Teen,2.944438979,4.71
29,NA,NA,4.43,Long,99,15,3.021960789,Positive,Neutral,0.335697454,0.52849294,Positive,Neutral,0.35942332,ABCmousecom,FAMILY,428477,5000000+,Mature,4.605170186,4.85
30,NA,NA,4.42,Short,65,10,3.155183224,Positive,Positive,0.122321086,0.806812733,Positive,Positive,-0.200635295,Garden Fruit Legend,FAMILY,258109,500000+,Teen,4.189654742,4.6
31,39,Female,4.52,Short,43,4,4.02231465,Negative,Negative,0.448205476,0.368251695,Positive,Positive,-0.149360315,Block Puzzle,GAME,1042794,5000000+,Teen,3.784189634,4.8
32,44,Male,4.36,Short,38,7,3.688517807,Positive,Positive,-0.291770184,0.478113506,Negative,Neutral,-0.014116797,Bubble Shooter,GAME,16422,10000000+,Teen,3.663561646,4.68
33,NA,NA,4.38,Long,187,23,3.360349548,Positive,Neutral,-0.580979625,0.632494986,Positive,Neutral,-0.217819889,Altos Adventure,GAME,578435,10000000+,Teen,5.236441963,4.63
34,NA,NA,4.47,Short,31,7,3.961985771,Negative,Negative,-0.655161687,0.423028347,Positive,Neutral,0.283413479,Angry Birds 2,FAMILY,240207,100000000+,Mature,3.465735903,4.53
35,NA,NA,4.63,Short,32,5,4.10608683,Positive,Neutral,-0.004295335,0.54014192,Positive,Neutral,-0.183030093,Crossy Road,GAME,334325,100000000+,Mature,3.496507561,4.54
36,NA,NA,4.33,Short,96,11,3.460838977,Negative,Negative,0.897885592,0.54856273,Negative,Negative,0.036798748,Four In A Line Free,GAME,9333,5000000+,Teen,4.574710979,4.43
37,NA,NA,4.12,Short,68,7,3.751190483,Negative,Negative,0.213630489,0.332198345,Negative,Neutral,-0.068063669,Build a Bridge,FAMILY,86008,10000000+,Mature,4.234106505,4.52
38,37,Male,4.26,Long,147,22,3.107212713,Negative,Negative,-0.239082142,0.486545085,Positive,Positive,-0.172497921,Barbie?Fashion Closet,GAME,1495781,10000000+,Teen,4.997212274,4.51
39,NA,NA,4.4,Long,148,24,3.130242234,Negative,Negative,-0.275934677,0.50838358,Negative,Negative,-0.155840292,Bubble Shooter,GAME,17307,10000000+,Teen,5.003946306,4.68
