"Id","AgeReviewer","GenderReviewer","RevRating","RevType","RevLen","WordCount","AvgWordLen","SentiG2","SentiG3","SentiGPol","SentiGSub","SentiR2","SentiR3","SentiRPol","App","AppCat","AppRating","nReviews","nInstalls","ContRating","lRevLen"
1731,NA,NA,4.321846982,"Short",46,10,3.20819395572653,"Negative","Negative",-0.255455553302328,0.550281980184255,"Negative","Negative",-0.262133200859496,"Bubble Shooter","GAME",4.37920922826471,16784,"10000000+","Mature",3.85014760171006
1838,NA,NA,4.322646442,"Short",28,7,3.77519418969091,"Negative","Negative",-0.217672618992635,0.457979775727252,"Negative","Neutral",-0.203859645563898,"Frozen Free Fall","FAMILY",4.3628015600625,21575,"50000000+","Teen",3.36729582998647
3402,45,"Male",4.406687637,"Long",143,19,3.57728640054809,"Negative","Negative",-0.212824701420769,0.50950290542679,"Negative","Neutral",-0.207816199976372,"Cooking Fever","GAME",4.43945972737838,120332,"100000000+","Teen",4.969813299576
4880,NA,NA,4.483034691,"Short",72,14,3.43788829991954,"Negative","Neutral",0.050294331098287,0.573732216425324,"Positive","Neutral",0.0502828242524465,"Altos Adventure","GAME",4.50176788752941,552103,"10000000+","Teen",4.29045944114839
2784,NA,NA,4.375729057,"Short",106,12,3.95118423470826,"Negative","Negative",-0.156190406164875,0.694165497831264,"Negative","Neutral",-0.146858120155277,"Doctor Pets","FAMILY",4.38715687536364,49870,"1000000+","Mature",4.67282883446191
192,66,"Female",4.151849454,"Short",80,13,3.39751129866667,"Negative","Negative",-0.596250378864146,0.379583292043522,"Negative","Negative",-0.613939026065182,"Color by Number Draw Sandbox Pixel Art","FAMILY",4.27662015441176,511,"1000000+","Teen",4.39444915467244
1783,NA,NA,4.30995276,"Long",198,36,3.10902388402243,"Negative","Negative",-0.170103372197784,0.652635791348766,"Negative","Neutral",-0.176662812363119,"Citizens Bank Mobile Banking","FINANCE",4.34137967042857,15880,"1000000+","Teen",5.29330482472449
1713,NA,NA,4.320335942,"Short",53,7,3.91971432288125,"Negative","Negative",-0.180647240051358,0.498606588686275,"Negative","Neutral",-0.183125829653201,"Bubble Shooter","GAME",4.37920922826471,16471,"10000000+","Teen",3.98898404656427
1392,32,"Female",4.281257256,"Long",242,40,3.09385673254372,"Negative","Negative",-0.340573272622199,0.458947785069745,"Negative","Negative",-0.324151024663144,"Chase Mobile","FINANCE",4.37386720430769,11878,"10000000+","Teen",5.49306144334055
5603,NA,NA,4.509840313,"Short",91,9,3.69567633014493,"Negative","Neutral",0.103092463266045,0.58296697306767,"Positive","Positive",0.140857438563655,"BZWBK2 mobile","FINANCE",4.524933453,1375806,"1000000+","Teen",4.52178857704904
6121,NA,NA,4.55890484,"Short",73,11,3.48066080629589,"Positive","Neutral",0.259523086872542,0.514295965735801,"Positive","Positive",0.260126306937138,"Farm Heroes Saga","GAME",4.553388530625,5271391,"100000000+","Teen",4.30406509320417
190,NA,NA,4.165415181,"Short",90,13,3.3125321486988,"Negative","Negative",-0.550196632049503,0.419230552725161,"Negative","Negative",-0.548301278191939,"Color by Number Draw Sandbox Pixel Art","FAMILY",4.27662015441176,509,"1000000+","Teen",4.51085950651685
4054,NA,NA,4.410096527,"Long",260,32,3.22810667462024,"Negative","Negative",-0.0284522661907446,0.449138280958811,"Positive","Neutral",-0.0160582555808891,"Agario","GAME",4.4297803505,231931,"100000000+","Mature",5.56452040732269
512,NA,NA,4.213114998,"Short",48,14,3.08915253917049,"Negative","Negative",-0.47809971941418,0.297700219496442,"Negative","Negative",-0.466154239957835,"Dr Panda Restaurant 3","FAMILY",4.2772600930625,1829,"1000000+","Mature",3.89182029811063
1293,NA,NA,4.279154557,"Short",77,14,3.34240977235745,"Negative","Negative",-0.286760736496428,0.2951313019918,"Negative","Negative",-0.292029057347376,"Four In A Line Free","GAME",4.33896980816667,9259,"5000000+","Teen",4.35670882668959
1172,NA,NA,4.295792462,"Long",332,49,3.24135472853472,"Negative","Neutral",-0.269965832411667,0.696429886848244,"Negative","Negative",-0.299933064258688,"Flow Free","FAMILY",4.33382938110526,8698,"100000000+","Mature",5.80814248998044
571,NA,NA,4.254745314,"Long",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Blossom Blast Saga","GAME",4.31307591094118,2695,"10000000+","Teen",NA
3208,NA,NA,4.429710046,"Short",66,9,3.55260356237576,"Positive","Neutral",-0.0834791758406548,0.53177156182928,"Negative","Neutral",-0.0934035365138959,"Build a Bridge","FAMILY",4.4405836475,87194,"10000000+","Teen",4.20469261939097
4354,NA,NA,4.454172157,"Short",6,1,10.2843813128,"Positive","Neutral",0.0402785245774093,0.498842142531034,"Positive","Neutral",0.0436664337870063,"Candy Bomb","GAME",4.46159688745455,261006,"10000000+","Mature",1.94591014905531
2443,NA,NA,4.38542937,"Short",101,14,3.25835498831485,"Positive","Positive",-0.11636544587037,0.460808871445474,"Negative","Neutral",-0.105583456082102,"Happy Fruits Bomb Cube Blast","FAMILY",4.40575867476923,30018,"500000+","Teen",4.62497281328427
320,NA,NA,4.147489814,"Short",41,5,3.93945136871429,"Negative","Negative",-0.519005811080552,0.411038016694143,"Negative","Negative",-0.530131514427222,"DreamWorks Friends","FAMILY",4.19876795209091,864,"100000+","Teen",3.73766961828337
4154,NA,NA,4.45499755,"Long",117,16,3.15864839677094,"Positive","Neutral",0.00780721376385009,0.535054655898019,"Positive","Neutral",-0.0210985198513931,"Find a Way Addictive Puzzle","FAMILY",4.49467128333333,205139,"500000+","Teen",4.77068462446567
3900,NA,NA,4.445460733,"Long",201,23,3.21486397233191,"Negative","Negative",-0.101962813775974,0.587936511513319,"Negative","Neutral",-0.0964318159082908,"Hello Kitty Nail Salon","GAME",4.42456154306667,178301,"50000000+","Mature",5.30826769740121
1019,NA,NA,4.279556221,"Short",36,9,3.56602585870196,"Negative","Negative",-0.317476004827937,0.462947014808533,"Negative","Negative",-0.313480182711053,"Coloring Learn","FAMILY",4.3357324296,5316,"5000000+","Teen",3.61091791264422
3722,NA,NA,4.431426258,"Long",160,21,3.1719579633875,"Positive","Positive",0.0191627434012465,0.723054999610722,"Positive","Neutral",0.00913259825881352,"Bank of America Mobile Banking","FINANCE",4.438926432375,147566,"10000000+","Mature",5.08140436498446
5372,NA,NA,4.527686217,"Long",128,15,3.45222943254687,"Positive","Positive",0.125785915415739,0.56363596529837,"Positive","Positive",0.129715219866174,"Block Puzzle","GAME",4.52596675946875,938508,"5000000+","Mature",4.85981240436167
4432,NA,NA,4.465854069,"Long",130,23,2.95382215907692,"Positive","Neutral",0.0588166473314407,0.560115099067684,"Positive","Neutral",0.0621115023468664,"Crossy Road","GAME",4.47416665718919,351879,"100000000+","Teen",4.87519732320115
2700,NA,NA,4.353097329,"Short",76,10,3.60598555674426,"Negative","Negative",-0.143446949000408,0.350999071931546,"Negative","Neutral",-0.177760843064688,"Candy Crush Saga","FAMILY",4.40520258955556,64919,"500000000+","Teen",4.34380542185368
6064,51,"Male",4.517143988,"Short",70,11,2.87836425428148,"Negative","Negative",0.16659831435152,0.572904750577054,"Positive","Positive",0.114019715809321,"Fruits Bomb","GAME",4.54788470366667,3737752,"10000000+","Teen",4.26267987704132
3132,NA,NA,4.420981415,"Long",103,22,2.94796111247961,"Positive","Neutral",-0.0677583926077985,0.56139669601616,"Negative","Neutral",-0.107236981317319,"Angry Birds Rio","GAME",4.41841011975,90688,"100000000+","Teen",4.64439089914137
5049,26,"Male",4.485370139,"Short",45,8,3.94744852282642,"Negative","Neutral",0.0616190175617022,0.484569750345455,"Positive","Neutral",0.0660504990555679,"Farming Simulator 1 ","FAMILY",4.50004709685714,701511,"10000000+","Teen",3.8286413964891
6058,NA,NA,4.572910616,"Short",84,13,3.54788713577619,"Positive","Positive",0.16761181981862,0.569100365942547,"Positive","Positive",0.196310580509985,"Fruits Bomb","GAME",4.54788470366667,3628718,"10000000+","Teen",4.44265125649032
4023,NA,NA,4.456028875,"Long",148,19,3.37833994316,"Negative","Negative",-0.0271564710520719,0.567800524295879,"Negative","Neutral",-0.0590910513473268,"Agario","GAME",4.4297803505,226377,"100000000+","Teen",5.00394630594546
6614,NA,NA,4.669946387,"Short",63,9,3.49252071706667,"Positive","Positive",0.590682309318241,0.597016470139461,"Positive","Positive",0.592791770710172,"Baby ABC in box Kids alphabet games for toddlers","FAMILY",4.67572719742105,52630917,"1000000+","Teen",4.15888308335967
288,NA,NA,4.166141249,"Short",27,5,4.27622550671515,"Negative","Negative",-0.558192927290712,0.533042343171431,"Negative","Negative",-0.52925700968186,"Dr Panda Town Vacation","FAMILY",4.213733343,846,"1000000+","Teen",3.3322045101752
5808,NA,NA,4.517494909,"Short",42,4,4.32259590568276,"Negative","Negative",0.149209838978258,0.215502132633552,"Positive","Positive",0.186288270193315,"Educational Games for Kids","FAMILY",4.53883700506667,1814438,"1000000+","Teen",3.76120011569356
1790,NA,NA,4.283132402,"Long",386,46,3.12077055367473,"Negative","Negative",-0.276124232681454,0.588653408747379,"Negative","Negative",-0.281860155030716,"Citizens Bank Mobile Banking","FINANCE",4.34137967042857,16062,"1000000+","Mature",5.95842469302978
862,NA,NA,4.239737465,"Long",115,16,3.32532172712727,"Negative","Negative",-0.392400779815921,0.28983284963911,"Negative","Negative",-0.386306569534495,"Baby puzzles","FAMILY",4.31508853264286,3929,"5000000+","Mature",4.75359019110636
5875,NA,NA,4.519377722,"Short",45,5,4.01968136157778,"Negative","Neutral",0.223921647990982,0.458110859059352,"Positive","Positive",0.232429018312153,"A Mobile","FINANCE",4.48472142882353,1852484,"10000+","Mature",3.8286413964891
2372,NA,NA,4.344126359,"Long",71,16,3.13924156048261,"Negative","Negative",-0.224640067591364,0.486277082536754,"Negative","Negative",-0.216595387409556,"Cut the Rope FULL FREE","FAMILY",4.39365037566667,39223,"100000000+","Teen",4.27666611901606
2281,NA,NA,4.344517785,"Long",113,17,3.61318195532,"Negative","Negative",-0.195771590395119,0.350757899281485,"Negative","Neutral",-0.199542850769199,"Fresh EBT Food Stamp Balance","FINANCE",4.3995960875,27890,"1000000+","Mature",4.7361984483945
1544,32,"Male",4.326183213,"Long",127,17,3.34077627667244,"Positive","Neutral",-0.190972696035359,0.557653994573159,"Negative","Neutral",-0.179837426244515,"BankMobile Vibe App","FINANCE",4.351515906,11555,"1000000+","Mature",4.85203026391962
