"","Id","AgeReviewer","GenderReviewer","RevRating","RevType","RevLen","WordCount","AvgWordLen","SentiG2","SentiG3","SentiGPol","SentiGSub","SentiR2","SentiR3","SentiRPol","App","AppCat","nReviews","nInstalls","ContRating","lRevLen","AppRating"
"3",3402,NA,NA,4.26,"Long",145,19,3.57728640054809,"Negative","Negative",0.246353214385218,0.50950290542679,"Negative","Neutral",0.136649873826314,"Cooking Fever","GAME",120332,"100000000+","Teen",4.98360662170834,4.45
"6",192,NA,NA,4.43,"Short",82,13,3.39751129866667,"Negative","Negative",0.194592272000053,0.379583292043522,"Negative","Negative",-0.194619627700648,"Color by Number Draw Sandbox Pixel Art","FAMILY",511,"1000000+","Mature",4.4188406077966,4.35
"9",1392,NA,NA,4.45,"Long",247,40,3.09385673254372,"Negative","Negative",-0.0368443937461702,0.458947785069745,"Negative","Negative",-0.128978356557248,"Chase Mobile","FINANCE",11878,"10000000+","Mature",5.51342874616498,4.57
"29",6064,NA,NA,4.36,"Short",63,11,2.87836425428148,"Negative","Negative",-0.721689615043374,0.572904750577054,"Positive","Positive",-0.411919528405761,"Fruits Bomb","GAME",3737752,"10000000+","Teen",4.15888308335967,4.36
"31",5049,NA,NA,4.56,"Short",37,8,3.94744852282642,"Negative","Neutral",0.0306934479516632,0.484569750345455,"Positive","Neutral",-0.209229569129284,"Farming Simulator 1 ","FAMILY",701511,"10000000+","Teen",3.63758615972639,4.68
"42",1544,NA,NA,4.42,"Long",127,17,3.34077627667244,"Positive","Neutral",-0.263153565846817,0.557653994573159,"Negative","Neutral",-0.325144723514076,"BankMobile Vibe App","FINANCE",11555,"1000000+","Mature",4.85203026391962,4.62
"45",836,17,"Male",4.29,"Long",92,18,2.99872876576289,"Negative","Neutral",-0.289833768101795,0.480649877672698,"Negative","Negative",-0.65315457605516,"Candy Day","FAMILY",3744,"1000000+","Teen",4.53259949315326,4.67
"46",3879,71,"Male",4.24,"Long",163,20,3.21273514358621,"Negative","Negative",-0.538767169810191,0.54411761068623,"Negative","Neutral",-0.289984354755325,"Hello Kitty Nail Salon","GAME",174182,"50000000+","Teen",5.0998664278242,4.53
"47",4780,NA,NA,4.53,"Short",82,13,3.30063375890732,"Positive","Positive",-0.149657566613248,0.688711608866492,"Positive","Positive",-0.0838285401057898,"ABCmousecom","FAMILY",428738,"5000000+","Mature",4.4188406077966,4.85
"50",3817,NA,NA,4.57,"Short",86,9,3.4512177504,"Negative","Negative",-0.329617970276745,0.447948597100996,"Negative","Neutral",0.574417008699074,"Cooking Madness A Chefs Restaurant Games","GAME",161351,"10000000+","Mature",4.46590811865458,4.4
"61",2048,NA,NA,4.37,"Short",93,13,3.6120286271,"Negative","Negative",0.0915630646351635,0.574816522181811,"Negative","Neutral",0.439780964635518,"Comptia A 220901 220902","FAMILY",17441,"10000+","Teen",4.54329478227,4.55
"62",6425,NA,NA,4.26,"Long",107,15,3.17138257359024,"Positive","Neutral",-0.530064279723422,0.50436956015176,"Positive","Positive",0.538563132405346,"Color Road","GAME",12075869,"10000000+","Mature",4.68213122712422,4.27
"63",40,NA,NA,4.6,"Short",43,7,3.7089035448,"Negative","Negative",-0.109361432853793,0.41308087722046,"Negative","Negative",0.381530454052722,"Hay Day","FAMILY",118,"100000000+","Teen",3.78418963391826,4.52
"65",3053,76,"Female",4.27,"Short",109,12,3.67545030581176,"Negative","Negative",-0.166505030465235,0.452351666069256,"Negative","Neutral",0.205006450694228,"Credit Sesame","FINANCE",66501,"1000000+","Teen",4.70048036579242,4.71
"70",2019,NA,NA,4.4,"Long",113,15,3.37111175229515,"Negative","Negative",-0.761068831624477,0.63222438415728,"Negative","Neutral",0.28195680227307,"Bubble Witch 3 Saga","GAME",26939,"50000000+","Teen",4.7361984483945,4.64
"75",51,NA,NA,4.31,"Short",37,9,3.16740870753846,"Negative","Negative",-0.672625769801116,0.258803715604017,"Negative","Negative",0.129337561957549,"Hay Day","FAMILY",165,"100000000+","Teen",3.63758615972639,4.52
"77",4647,NA,NA,4.39,"Short",32,6,3.44872810218947,"Negative","Neutral",0.132681706686683,0.173077577957479,"Positive","Neutral",-0.500984175505291,"Dog Run Pet Dog Simulator","GAME",365866,"10000000+","Mature",3.49650756146648,4.52
"83",2895,22,"Female",4.21,"Short",88,13,3.55455394005217,"Negative","Neutral",0.0842892134784777,0.492577774787541,"Negative","Neutral",0.324014713193023,"Experian Free Credit Report","FINANCE",57016,"1000000+","Mature",4.48863636973214,4.69
"85",5521,NA,NA,4.35,"Short",61,8,3.78818322599452,"Negative","Neutral",0.416546535941814,0.396767499073924,"Positive","Positive",-0.169162873997431,"Candy Crush Soda Saga","GAME",1535436,"100000000+","Teen",4.12713438504509,4.7
"86",5753,NA,NA,4.44,"Short",63,10,3.53662414784762,"Positive","Positive",0.801023356981491,0.767506063544711,"Positive","Positive",0.656728293000525,"Branch","FINANCE",1834415,"1000000+","Mature",4.15888308335967,4.49
"92",5930,NA,NA,4.08,"Short",24,3,4.84945164555,"Positive","Positive",-0.13969502036123,0.675361103890304,"Positive","Positive",0.239321235594219,"A Mobile","FINANCE",2126144,"10000+","Teen",3.2188758248682,4.54
"95",6630,NA,NA,4.44,"Long",162,21,3.25787340043457,"Positive","Positive",0.0935980883978919,0.50190488399189,"Positive","Positive",-0.0816627633145212,"Baby ABC in box Kids alphabet games for toddlers","FAMILY",67743547,"1000000+","Mature",5.09375020080676,4.61
"96",3240,NA,NA,4.25,"Long",106,17,3.08078967116226,"Positive","Neutral",-0.0924802816051,0.485480620727937,"Negative","Neutral",-0.397868507650772,"CreditWise from Capital One","FINANCE",79854,"1000000+","Mature",4.67282883446191,4.32
"97",514,NA,NA,4.57,"Long",150,21,3.08781125394074,"Negative","Negative",-0.0240491454432407,0.457977740464899,"Negative","Negative",-0.388092980124528,"Dr Panda Restaurant 3","FAMILY",1837,"1000000+","Teen",5.01727983681492,4.79
"98",3189,25,"Male",4.4,"Short",52,6,3.89134671619167,"Negative","Negative",0.526818839037383,0.336956597318359,"Negative","Neutral",-0.299881782079107,"Build a Bridge","FAMILY",85928,"10000000+","Mature",3.97029191355212,4.52
"112",4050,NA,NA,4.43,"Long",158,23,3.22545946509367,"Positive","Neutral",-0.578559622681388,0.573511381726462,"Positive","Neutral",0.345127417158444,"Agario","GAME",231006,"100000000+","Teen",5.06890420222023,4.64
"128",574,NA,NA,4.5,"Long",180,28,3.11666882833254,"Negative","Negative",-0.0120440195840921,0.356814771573919,"Negative","Negative",-0.759105170775666,"Blossom Blast Saga","GAME",2707,"10000000+","Teen",5.19849703126583,4.37
"132",99,46,"Male",4.27,"Short",18,4,4.0168301533125,"Negative","Neutral",-0.221753115134658,0.734922823997403,"Negative","Negative",0.393044923811329,"Hello Stars","GAME",259,"10000000+","Teen",2.94443897916644,4.71
"135",4779,NA,NA,4.43,"Long",99,15,3.02196078889293,"Positive","Neutral",0.335697453886949,0.528492940027731,"Positive","Neutral",0.359423320011436,"ABCmousecom","FAMILY",428477,"5000000+","Mature",4.60517018598809,4.85
