"time_index","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
45018,"Sp",0,0,1,10.1,13.1,70,0,0,1,1
68341,"Sp",0,0,1,10,10.9,49,0,3,10,13
76945,"Sp",0,0,2,10.2,12.1,50,6.0032,0,4,4
46508,"Sp",0,0,1,12,13.4,83,0,33,90,123
94085,"Sp",0,0,3,18,20.5,85,16.9979,1,5,6
13509,"Sp",0,0,2,19.2,20.9,64,16.9979,1,11,12
3864,"Sp",0,0,2,19.3,23.3,78,12.998,0,2,2
88187,"Sp",0,0,2,15.7,19.5,69,19.9995,25,150,175
98376,"Sp",0,0,3,14.1,17.2,46,11.0014,3,12,15
88543,"Sp",0,0,1,15.4,20.3,58,12.998,7,33,40
49289,"Sp",0,0,1,12.3,15.8,53,30.0026,10,23,33
95340,"Sp",0,0,1,11.5,16.1,86,23.9994,13,29,42
81436,"Sp",0,0,1,11.6,14.2,71,22.0028,10,15,25
89332,"Sp",0,1,1,8.2,9.1,65,23.9994,0,2,2
16137,"Sp",0,1,1,7.5,11.2,90,26.0027,0,6,6
77324,"Sp",0,1,1,6.1,8.9,87,26.0027,5,15,20
24193,"Sp",0,1,1,4.9,7.6,65,19.0012,68,108,176
55419,"Sp",0,1,1,8.7,11.9,65,19.9995,5,9,14
69517,"Sp",0,1,1,10.9,14,86,19.0012,4,9,13
4910,"Sp",0,1,1,9.1,12.1,61,16.9979,42,78,120
52332,"Sp",0,1,1,9.8,12.7,87,15.0013,5,15,20
68778,"Sp",0,1,1,5.6,9.2,45,8.9981,19,50,69
95215,"Sp",0,1,1,5.9,8.4,54,7.0015,7,14,21
28111,"Sp",0,1,1,4.9,9.4,41,11.0014,246,1018,1264
75146,"Sp",0,1,1,12.7,16.5,53,16.9979,4,22,26
86485,"Sp",0,1,1,11.5,15.5,82,12.998,57,975,1032
16927,"Sp",0,1,1,9.2,11.4,76,7.0015,125,452,577
88231,"Sp",0,1,1,8.8,11.1,56,0,2,26,28
2475,"Sp",0,1,1,10.1,14.1,75,11.0014,1,10,11
37668,"Sp",0,1,1,7.5,11.4,87,12.998,1,2,3
41648,"Sp",0,1,1,9.1,10.9,83,22.0028,3,46,49
93911,"Sp",0,1,1,9.5,12.7,44,22.0028,1,6,7
65675,"Sp",0,1,1,9.1,12.6,40,22.0028,15,32,47
54045,"Sp",0,1,1,9.9,13.8,38,19.9995,13,30,43
31696,"Sp",0,1,1,8.7,12,48,8.9981,0,134,134
27608,"Sp",0,1,1,7,8.3,37,8.9981,3,16,19
