"age","checkingStatus","creditAmountDollar","creditHistory","duration","employment","existingCredits","foreignWorker","housing","installmentCommitment","job","lamount","lamountPred","numDependents","otherParties","otherPaymentPlans","ownTelephone","personalStatus","propertyMagnitude","purpose","residenceSince","riskStatus","savingsStatus"
43,"<0",839.86,"existing_paid",16.05,"unemployed",1,NA,"own",2,"high_qualif_self_emp_mgmt",6.73323521128026,7.73297151863789,1,"co_applicant","none","no","male_div_sep","real_estate","other",NA,"high","<100"
60,"0<=X<200",34866.06,"all_paid",69.3,">=7",2,"yes","subsidized",3,"high_qualif_self_emp_mgmt",10.4592691421759,8.18665040868389,1,"no","bank","yes","female_div_dep_mar","real_estate","other",NA,"low","100<=X<500"
57,"0<=X<200",33820.71,"existing_paid",77.18,">=7",1,"yes","subsidized",4,"high_qualif_self_emp_mgmt",10.4288286157272,6.81247488864862,1,"no","none","yes","male_single","real_estate","new_car",NA,"low","<100"
27,"0<=X<200",13676.75,"existing_paid",73.03,"4<=X<7",1,NA,"own",4,"high_qualif_self_emp_mgmt",9.52345258985217,6.81247488864862,1,"no","none","yes","male_single","real_estate","new_car",NA,"low","<100"
44,"0<=X<200",29888.73,"existing_paid",65.76,">=7",1,NA,"subsidized",4,"high_qualif_self_emp_mgmt",10.3052367652485,6.81247488864862,1,"no","none","yes","female_div_dep_mar","real_estate","used_car",2,"low","<100"
34,"<0",2321.71,"existing_paid",29.67,"<1",1,NA,"own",1,"unskilled_resident",7.75005926212395,7.8599707879004,1,"no","none","yes","male_div_sep","real_estate","repairs",NA,"high","<100"
30,"no_checking",9653.15,"critical_other_existing_credit",53.75,"1<=X<4",1,NA,"own",4,"high_qualif_self_emp_mgmt",9.17503956593849,7.60154355421606,1,"no","none","yes","male_single","real_estate","used_car",NA,"high","no_known_savings"
27,"0<=X<200",11139.59,"existing_paid",61.15,"4<=X<7",2,NA,"own",1,"skilled",9.31826070849518,8.023915059186,1,"co_applicant","bank","yes","male_single","real_estate","tv",NA,"low",">=1000"
45,"no_checking",26011.75,"delayed_previously",58.19,">=7",2,"yes","own",2,"skilled",10.1663036379941,7.82632169463808,2,"no","none","yes","male_single","real_estate","new_car",NA,"low","<100"
42,"no_checking",25102.36,"critical_other_existing_credit",56.47,">=7",2,NA,"subsidized",2,"skilled",10.1307171446043,7.98003608363511,1,"no","none","no","male_single","real_estate","used_car",NA,"high","no_known_savings"
21,"no_checking",10444.35,"existing_paid",59.35,"4<=X<7",1,NA,"own",2,"skilled",9.25381644132185,7.91748504114501,1,"no","none","yes","female_div_dep_mar","real_estate",NA,NA,"low","100<=X<500"
39,"no_checking",8240.2,"no_credits_all_paid",48.76,"1<=X<4",1,NA,"own",2,NA,9.01677989445362,8.22350040346992,2,"no","none","no","male_single","real_estate","used_car",NA,"high","no_known_savings"
27,"no_checking",1908.03,"delayed_previously",20.18,"<1",2,NA,"own",2,"skilled",7.55382657515506,7.5860687269513,1,"no","bank","yes","male_single","real_estate","business",NA,"high","<100"
24,"0<=X<200",9004.16,"existing_paid",43.6,"4<=X<7",1,"yes","own",1,"skilled",9.10544197174879,7.9862489493245,1,"no","none","no","female_div_dep_mar","real_estate","new_car",NA,"high","no_known_savings"
30,"no_checking",7102.32,"existing_paid",43.91,"1<=X<4",1,NA,"own",1,"skilled",8.86817677021818,7.89891141490676,1,"no","bank","no","female_div_dep_mar","real_estate","used_car",2,"low","<100"
42,"<0",18855.45,"existing_paid",41.45,">=7",1,"yes","subsidized",4,"high_qualif_self_emp_mgmt",9.84455727575611,7.48358883457605,1,"no","bank","no","male_single","real_estate","new_car",NA,"low","<100"
40,"no_checking",8284.16,"delayed_previously",38.97,"4<=X<7",2,NA,"own",2,"skilled",9.02210053666985,7.7384738887062,1,"no","none","yes","female_div_dep_mar","real_estate","furniture_equipment",NA,"low","500<=X<1000"
46,"no_checking",18544.68,"critical_other_existing_credit",42.66,">=7",2,NA,"own",4,"high_qualif_self_emp_mgmt",9.82793823444993,7.54755939606791,2,"no","bank","no","male_div_sep","real_estate","business",NA,"high","no_known_savings"
